Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,5203152,-,b'Iloilo',b'Philippines',10.7,122.57,8,5,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Temperature,Wind Speed,Relative Humidity
2018,1,1,0,0,0,0,0,26.5,4.800000000000001,94.33
2018,1,1,1,0,0,0,0,26.5,5,93.99
2018,1,1,2,0,0,0,0,26.400000000000002,5.2,94.19
2018,1,1,3,0,0,0,0,26.400000000000002,5.300000000000001,93.72
2018,1,1,4,0,0,0,0,26.3,5.5,93.69
2018,1,1,5,0,0,0,0,26.200000000000003,5.5,93.43
2018,1,1,6,0,0,0,0,26.200000000000003,5.5,93.17
2018,1,1,7,0,57,0,57,26.6,5.9,91.75
2018,1,1,8,0,317,451,135,27,5,92.87
2018,1,1,9,0,46,0,46,27.400000000000002,4.800000000000001,91.09
2018,1,1,10,0,425,102,351,27.8,4.7,88.87
2018,1,1,11,0,613,259,404,28.1,5,87.34
2018,1,1,12,0,582,185,428,28.200000000000003,5.2,87.18
2018,1,1,13,0,727,541,298,28.1,5.2,88.5
2018,1,1,14,0,314,35,290,28,4.9,90.08
2018,1,1,15,0,28,0,28,27.8,4.800000000000001,91.81
2018,1,1,16,0,171,68,146,27.6,5,92.66
2018,1,1,17,0,47,0,47,27.200000000000003,5.4,93.7
2018,1,1,18,0,0,0,0,27,5.6000000000000005,93.53
2018,1,1,19,0,0,0,0,26.8,5.7,93.53
2018,1,1,20,0,0,0,0,26.6,5.7,93.65
2018,1,1,21,0,0,0,0,26.5,5.7,93.59
2018,1,1,22,0,0,0,0,26.400000000000002,5.800000000000001,93.7
2018,1,1,23,0,0,0,0,26.400000000000002,5.9,93.63
2018,1,2,0,0,0,0,0,26.400000000000002,6.1000000000000005,93.39
2018,1,2,1,0,0,0,0,26.400000000000002,6.300000000000001,93.19
2018,1,2,2,0,0,0,0,26.400000000000002,6.2,92.96000000000001
2018,1,2,3,0,0,0,0,26.400000000000002,6.2,92.85000000000001
2018,1,2,4,0,0,0,0,26.400000000000002,6.1000000000000005,92.88
2018,1,2,5,0,0,0,0,26.400000000000002,6.1000000000000005,92.96000000000001
2018,1,2,6,0,0,0,0,26.5,6.300000000000001,92.73
2018,1,2,7,0,29,0,29,26.8,6.7,92.13
2018,1,2,8,0,38,0,38,27.1,7.2,91.89
2018,1,2,9,0,150,0,150,27.3,7.7,91.64
2018,1,2,10,0,209,6,205,27.5,8.5,90.72
2018,1,2,11,0,334,24,314,27.6,9,90.47
2018,1,2,12,0,514,112,421,27.6,9.3,90.82000000000001
2018,1,2,13,0,310,20,294,27.6,9.3,91.3
2018,1,2,14,0,395,91,332,27.700000000000003,8.8,91.28
2018,1,2,15,0,373,224,250,27.6,8.1,92.12
2018,1,2,16,0,139,15,133,27.400000000000002,7.6000000000000005,93.03
2018,1,2,17,0,41,0,41,27.3,7.300000000000001,93.10000000000001
2018,1,2,18,0,0,0,0,27.200000000000003,7.1000000000000005,93.5
2018,1,2,19,0,0,0,0,27.200000000000003,6.9,93.34
2018,1,2,20,0,0,0,0,27.200000000000003,6.1000000000000005,93.15
2018,1,2,21,0,0,0,0,27.1,5.2,93.43
2018,1,2,22,0,0,0,0,27.1,4.4,93.15
2018,1,2,23,0,0,0,0,27,4.3,93.7
2018,1,3,0,0,0,0,0,27,4.6000000000000005,93.79
2018,1,3,1,0,0,0,0,27,4.6000000000000005,93.99
2018,1,3,2,0,0,0,0,27,4.5,93.98
2018,1,3,3,0,0,0,0,27,4.3,93.94
2018,1,3,4,0,0,0,0,26.900000000000002,4.4,93.97
2018,1,3,5,0,0,0,0,26.8,4.4,93.74
2018,1,3,6,0,0,0,0,26.8,4.4,93.44
2018,1,3,7,0,106,210,67,27.1,4.5,93.23
2018,1,3,8,0,266,253,165,27.5,4.9,91.89
2018,1,3,9,0,280,50,251,28,5.2,89.39
2018,1,3,10,0,367,56,326,28.3,5.2,87.71000000000001
2018,1,3,11,0,552,171,413,28.6,5.1000000000000005,85.95
2018,1,3,12,0,674,322,405,28.6,4.9,85.87
2018,1,3,13,0,551,184,405,28.6,4.6000000000000005,85.93
2018,1,3,14,0,537,299,328,28.400000000000002,4.2,86.98
2018,1,3,15,0,384,247,248,28.1,3.7,88.72
2018,1,3,16,0,318,688,69,27.700000000000003,3.2,90.78
2018,1,3,17,0,86,279,46,27.200000000000003,2.9000000000000004,92.19
2018,1,3,18,0,0,0,0,26.900000000000002,3.1,93.02
2018,1,3,19,0,0,0,0,26.700000000000003,3.3000000000000003,93.89
2018,1,3,20,0,0,0,0,26.700000000000003,3.4000000000000004,94.11
2018,1,3,21,0,0,0,0,26.700000000000003,3.5,94.66
2018,1,3,22,0,0,0,0,26.8,3.7,94.89
2018,1,3,23,0,0,0,0,27,3.9000000000000004,94.66
2018,1,4,0,0,0,0,0,27.1,4.1000000000000005,94.69
2018,1,4,1,0,0,0,0,27.1,4.1000000000000005,94.71000000000001
2018,1,4,2,0,0,0,0,27.1,4.2,94.51
2018,1,4,3,0,0,0,0,27,4.3,94.73
2018,1,4,4,0,0,0,0,26.900000000000002,4.5,94.77
2018,1,4,5,0,0,0,0,26.900000000000002,4.7,94.2
2018,1,4,6,0,0,0,0,26.900000000000002,4.800000000000001,94.41
2018,1,4,7,0,126,335,64,27.3,5,93.82000000000001
2018,1,4,8,0,154,15,148,27.700000000000003,5.4,92.75
2018,1,4,9,0,378,179,273,28.3,5.800000000000001,89.54
2018,1,4,10,0,722,817,130,28.8,5.800000000000001,86.38
2018,1,4,11,0,835,891,114,29.3,5.7,82.71000000000001
2018,1,4,12,0,868,904,114,29.6,5.4,79.94
2018,1,4,13,0,827,896,112,29.700000000000003,5.1000000000000005,78.13
2018,1,4,14,0,708,843,116,29.5,4.800000000000001,78.08
2018,1,4,15,0,533,773,105,29.200000000000003,4.4,79.25
2018,1,4,16,0,183,87,152,28.700000000000003,3.7,82.56
2018,1,4,17,0,85,258,48,27.700000000000003,3,87.27
2018,1,4,18,0,0,0,0,27.1,2.8000000000000003,89.48
2018,1,4,19,0,0,0,0,26.700000000000003,2.8000000000000003,91.79
2018,1,4,20,0,0,0,0,26.5,2.8000000000000003,93.3
2018,1,4,21,0,0,0,0,26.400000000000002,2.9000000000000004,94.46000000000001
2018,1,4,22,0,0,0,0,26.3,3,95.61
2018,1,4,23,0,0,0,0,26.3,3.1,95.91
2018,1,5,0,0,0,0,0,26.3,3.2,95.86
2018,1,5,1,0,0,0,0,26.3,3.4000000000000004,95.4
2018,1,5,2,0,0,0,0,26.3,3.6,95.03
2018,1,5,3,0,0,0,0,26.3,3.7,94.8
2018,1,5,4,0,0,0,0,26.3,3.8000000000000003,94.68
2018,1,5,5,0,0,0,0,26.3,3.9000000000000004,94.64
2018,1,5,6,0,0,0,0,26.5,4,94.11
2018,1,5,7,0,118,315,60,27.1,4.3,92.64
2018,1,5,8,0,365,747,67,27.6,4.7,90.60000000000001
2018,1,5,9,0,381,185,273,28.1,4.9,88.51
2018,1,5,10,0,538,260,350,28.6,4.800000000000001,86.87
2018,1,5,11,0,829,873,122,28.900000000000002,4.6000000000000005,86.28
2018,1,5,12,0,551,145,429,29,4.4,86.52
2018,1,5,13,0,672,382,366,29,4.3,86.99
2018,1,5,14,0,186,3,184,28.8,4.3,87.94
2018,1,5,15,0,181,4,179,28.5,4,89.58
2018,1,5,16,0,220,184,152,28.1,3.7,91.81
2018,1,5,17,0,65,76,53,27.5,3.4000000000000004,94.06
2018,1,5,18,0,0,0,0,27.3,3.5,94.31
2018,1,5,19,0,0,0,0,27.200000000000003,3.7,94.60000000000001
2018,1,5,20,0,0,0,0,27.1,3.7,94.9
2018,1,5,21,0,0,0,0,27.1,4.1000000000000005,94.49
2018,1,5,22,0,0,0,0,27,4.5,94.54
2018,1,5,23,0,0,0,0,26.8,4.6000000000000005,94.96000000000001
2018,1,6,0,0,0,0,0,26.700000000000003,5,94.58
